1	(test) credit score model
2	001_Variables - global 1
3	002_Variables - variable nodes 1
4	003_Variables - variable nodes 2
5	008_Loops - 1
6	00_Building_your_first_workflow_optional
7	01 - Data Visualization with KNIME
8	01 Data Access - Solution
9	01 Data Access
10	01-FIRST_project
11	01-knime-intro-solution
12	010_Loops - 3
13	011_Loops - 4
14	014_External_WF_Call - 1
15	01. Data Aggregation
16	01 Data and Time and Databases
17	01 Data Cleaning
18	01 Data Export and Reporting
19	01_Data_Importing_and_Preprocessing_solution
20	01 Date and Time and Databases
21	01 Date and Time Databases ADDITIONAL DATA
23	01 Date and Time Manipulation
23	01 Date and Time Manipulation
24	01 Document Viewer
25	01 Practicing with Traditional Databases
26	01. Remote Workflow Execution
27	01.RF_Son
28	01_Basic_Customer_Segmentation_Use_Case
507	01_Basic_Visualizations_with_Python_View_node
30	01_CreditScoring
31	01_Data_Preparation
32	01_Data_Summarization
33	01_Duplicate_Row_Filter
34	01_exploracion_adult_csv
35	01_Introduction
36	01_KNIME_assessment_training_
37	01_Knime_Introduction
38	01_kNN
39	01_Missing_Value_Handling
40	01_NetworkComponentSplitter
41	01_Neural_Net
42	02 - create control table for tagging
43	02-EDA-tutorial-solution
44	02-lr-salaries-Solution
45	02- Write Data to a File
179	2
47	02 Cleaning & Standardization
743	02 Cleaning and Standardization
49	02 Creating Your Sports Analytics Dataset
51	02 Database Data Manipulation
51	02 Database Data Manipulation
52	02. Data Blending
54	02 Data Cleaning
54	02 Data Cleaning
55	02 Data Manipulation
56	02 Flow Variables and Components
57	02.GBT_Son
58	02_One_Hot_Encoding_solution
59	02_01_Time_Series_Seasonal_Plot
60	02_Database_Data_Manipulation
61	02_ingresos_por_sexo
62	02_Logistic_Regression
63	02_Missing_Value_Node
64	02_Outlier_Detection
65	02_Probability
66	02_regression
67	03 - Project 1 - Row and Column Filtering
68	03 - Project 3 - Row and Column Filtering
69	03- Reporting
70	03 - rule engine
69	03- Reporting
73	03 Aggregation and Data Blending
73	03 Aggregation and Data Blending
74	03. ANN Modeli (MLP)-R20,99
75	03b. Multiple dimensions - solution
76	03 Bringing Things Together - Solution
77	03 Bringing Things Together
78	03 Data Visualization
79	03 Flow Variables
80	03 Loops and Switches
81	03 Reporting - Custom Data
82	03. SVM_Son (SVR)
83	03. Train Model - solution
84	03_klassifikation
85	03_KNIME_assessment_interactive_app
86	03_Linear_Regression
87	03_row_filter
88	03_Rule_Engine
89	04 - Adavanced Analytics - Time Series
90	04 - create control table for formatting
91	04 - Project 1 - Numbers Strngs and Rules
92	04 - Project 3 - Data Transformation
326	4
94	04. ANN-MLP_Son
